k,image_id,cer_wiener,len_orig,len_wiener
0.05,0010956,0.5955,267,338
0.05,0014623,0.3875,289,228
0.05,0014624,0.0269,186,187
0.05,0014625,0.2282,447,443
0.05,0014626,0.7407,135,97
0.05,0014627,0.7238,467,228
0.05,0014628,0.9862,145,3
0.05,0014629,0.0542,203,204
0.05,0014630,0.1303,238,231
0.05,0014631,0.8478,289,69
0.05,0014632,1.0000,0,91
0.05,0014633,0.9804,102,2
0.05,0014634,0.8981,432,64
0.05,0014635,0.9173,520,62
0.05,0014636,0.7273,341,288
0.05,0014637,0.2465,572,563
0.05,0014638,0.0517,232,229
0.05,0014640,1.0000,0,306
0.05,0018784,1.0000,105,0
0.05,0018785,0.2328,189,196
0.05,0018786,0.0833,48,49
0.05,0018787,0.6638,345,241
0.05,0018788,0.7114,343,235
0.05,0018789,0.0112,89,89
0.05,0018790,0.6757,37,22
0.05,0018791,0.5367,341,304
0.05,0018792,0.4373,311,288
0.05,0018793,0.1447,387,358
0.05,0018794,0.1348,178,194
0.05,0018795,0.6927,371,373
0.05,0018796,0.6580,345,357
0.05,0018797,0.8153,314,359
0.05,0018798,0.1118,152,147
0.05,0018799,0.0459,109,111
0.05,0018800,0.6863,424,248
0.05,0018801,0.2321,448,484
0.05,0018802,1.0000,0,199
0.05,0018803,0.8909,55,22
0.05,0018804,0.6804,97,103
0.05,0018805,0.7129,202,130
0.05,0018806,0.0669,254,254
0.05,0018807,0.6245,229,212
0.05,0018808,0.0000,13,13
0.05,0018809,0.0563,231,232
0.05,0018810,0.0266,188,189
0.05,0018811,0.7209,172,183
0.05,0018812,0.3220,236,250
0.05,0018813,0.4412,68,53
0.05,0018814,0.2489,466,487
0.05,0018815,0.7946,185,118
0.05,0018816,0.9517,953,55
0.05,0018817,0.5000,64,69
0.05,0018818,0.9189,111,15
0.05,0018819,0.3091,482,427
0.05,0018820,0.1471,238,237
0.05,0018821,0.1611,211,196
0.05,0018822,0.2838,444,427
0.05,0018823,0.2191,251,255
0.05,0018824,0.0787,343,335
0.05,0018825,0.7548,208,95
0.05,0018826,0.5286,454,357
0.05,0018827,0.0000,201,201
0.05,0018828,0.1123,543,528
0.05,0018829,0.0409,513,511
0.05,0018830,0.7613,377,265
0.05,0018831,0.7845,297,108
0.05,0018832,0.7778,243,103
0.05,0018833,0.7993,284,150
0.05,0018834,0.5589,331,270
0.05,0018835,0.7563,279,125
0.05,0018836,0.6160,362,249
0.05,0018837,0.3757,511,467
0.05,0018838,0.4874,554,474
0.05,0018839,0.7290,487,215
0.05,0018840,0.7662,231,120
0.05,0018841,0.0123,326,326
0.05,0018842,0.7730,445,178
0.05,0018843,0.4683,378,305
0.05,0018844,0.8862,457,132
0.05,0018845,0.7371,213,107
0.05,0018846,1.0000,0,112
0.05,0018847,0.7839,398,164
0.05,0018848,0.0603,199,200
0.05,0018849,0.3464,306,292
0.05,0018850,0.8163,294,141
0.05,0018851,0.9139,418,49
0.05,0018852,0.7323,269,166
0.05,0018853,0.2178,303,292
0.05,0018854,0.8267,75,56
0.05,0018855,0.6434,272,239
0.05,0018856,0.1317,448,498
0.05,0018857,0.6780,382,256
0.05,0018858,0.2619,378,352
0.05,0018859,0.7251,211,135
0.05,0018860,0.1486,276,294
0.05,0018861,0.9821,168,4
0.05,0018862,0.3298,473,486
0.05,0018863,0.4204,157,151
0.05,0018864,0.7696,230,98
0.05,0018865,0.7980,406,140
0.05,0018866,0.8987,79,30
0.05,0018867,0.6417,120,80
0.05,0018868,0.3806,310,292
0.05,0018869,0.6896,567,381
0.05,0018870,0.7969,458,179
0.05,0018871,0.7450,251,132
0.05,0018872,0.7904,334,158
0.05,0018873,0.0851,388,371
0.05,0018874,0.5312,224,176
0.05,0018875,0.7797,649,271
0.05,0018876,0.6893,486,472
0.05,0018877,0.9111,45,9
0.05,0018878,0.5614,114,104
0.05,0018879,0.6756,336,356
0.05,0018880,0.5129,271,222
0.05,0018881,0.7542,179,128
0.05,0018882,0.3392,227,213
0.05,0018883,0.4681,376,350
0.05,0018884,0.7660,47,42
0.05,0018885,1.0000,12,6
0.05,0018886,0.1268,355,351
0.05,0018887,0.4844,289,252
0.05,0018888,0.0361,166,168
0.05,0018889,0.4177,237,216
0.05,0018890,0.3831,308,304
0.05,0018891,0.7388,379,198
0.05,0018892,0.8884,484,77
0.05,0018893,0.0395,253,252
0.05,0018894,0.7047,193,120
0.05,0018895,0.2302,126,123
0.05,0018896,0.8592,142,48
0.05,0018897,1.0000,67,1
0.05,0018898,0.9814,322,6
0.05,0018899,0.3587,315,317
0.05,0018900,0.9937,476,3
0.05,0018901,0.4035,285,354
0.05,0018902,0.2384,172,152
0.05,0018903,0.6484,128,131
0.05,0018904,0.0850,153,156
0.05,0018905,0.5420,131,112
0.05,0018906,0.9623,106,5
0.05,0018907,0.5176,170,178
0.05,0018908,0.1736,432,402
0.05,0018909,0.1680,363,353
0.05,0018910,0.9155,284,29
0.05,0018911,0.9678,621,37
0.05,0018912,0.6171,269,300
0.05,0018913,1.0000,1,1
0.05,0018914,0.3762,202,202
0.05,0018915,0.9205,302,28
0.05,0018916,0.6422,422,290
0.05,0018917,0.1156,173,175
0.05,0018918,0.5398,352,263
0.05,0018919,0.3462,364,311
0.05,0018920,0.2809,178,175
0.05,0018921,0.6071,112,139
0.05,0018922,0.7842,139,100
0.05,0018923,0.5849,265,247
0.05,0018924,0.5730,363,192
0.05,0018925,0.1441,347,368
0.05,0018926,0.2092,306,313
0.05,0018927,0.3660,347,352
0.05,0018928,0.8633,373,210
0.05,0018929,0.2095,296,291
0.05,0018930,0.7724,492,226
0.05,0018931,0.2451,616,653
0.05,0018932,0.9261,230,247
0.05,0018933,0.7698,417,158
0.05,0018934,0.9478,230,32
0.05,0018935,1.0000,1,0
0.05,0018936,0.1425,372,381
0.05,0018937,0.6173,243,155
0.05,0018938,0.6655,290,235
0.05,0018939,0.7987,154,70
0.05,0018940,0.9333,135,12
0.05,0018941,0.4531,309,261
0.05,0018942,0.0374,107,107
0.05,0018943,0.2803,446,414
0.05,0018944,0.1128,585,577
0.05,0018945,0.8480,809,184
0.05,0018946,0.7573,375,193
0.05,0018947,0.7500,456,222
0.05,0018948,0.6752,508,389
0.05,0018949,0.6184,152,135
0.05,0018950,0.7236,369,222
0.1,0009059,0.3561,337,305
0.1,0009060,0.8452,252,105
0.1,0009061,0.5676,377,311
0.1,0009062,0.0050,201,201
0.1,0009063,0.2970,468,431
0.1,0009064,0.9920,627,6
0.1,0009065,0.6945,347,215
0.1,0009066,0.7569,325,131
0.1,0009067,1.0000,0,99
0.1,0009068,1.0000,0,222
0.1,0009069,0.1250,120,122
0.1,0010952,0.7391,253,168
0.1,0010953,0.6906,446,252
0.1,0010954,0.2523,214,199
0.1,0010955,1.0000,0,330
0.1,0010956,0.6554,267,288
0.1,0014623,0.4014,289,231
0.1,0014624,0.0269,186,185
0.1,0014625,0.3982,447,412
0.1,0014626,0.7630,135,98
0.1,0014627,0.8201,467,140
0.1,0014628,0.9862,145,2
0.1,0014629,0.0591,203,204
0.1,0014630,0.1765,238,229
0.1,0014631,0.8131,289,84
0.1,0014632,1.0000,0,86
0.1,0014633,0.9706,102,3
0.1,0014634,0.9745,432,18
0.1,0014635,0.9077,520,78
0.1,0014636,0.7390,341,213
0.1,0014637,0.2990,572,582
0.1,0014638,0.0560,232,229
0.1,0014640,1.0000,0,269
0.1,0018784,1.0000,105,0
0.1,0018785,0.2698,189,201
0.1,0018786,0.0833,48,49
0.1,0018787,0.7014,345,185
0.1,0018788,0.6356,343,264
0.1,0018789,0.0000,89,89
0.1,0018790,0.7027,37,22
0.1,0018791,0.5513,341,294
0.1,0018792,0.5080,311,308
0.1,0018793,0.1421,387,355
0.1,0018794,0.2416,178,158
0.1,0018795,0.7116,371,311
0.1,0018796,0.7391,345,379
0.1,0018797,0.7803,314,320
0.1,0018798,0.1316,152,150
0.1,0018799,0.0367,109,111
0.1,0018800,0.7547,424,173
0.1,0018801,0.4196,448,363
0.1,0018802,1.0000,0,71
0.1,0018803,0.8545,55,25
0.1,0018804,0.7010,97,101
0.1,0018805,0.7772,202,103
0.1,0018806,0.0748,254,264
0.1,0018807,0.6812,229,171
0.1,0018808,0.0000,13,13
0.1,0018809,0.1299,231,223
0.1,0018810,0.0266,188,189
0.1,0018811,0.6163,172,164
0.1,0018812,0.3390,236,260
0.1,0018813,0.7500,68,28
0.1,0018814,0.2511,466,482
0.1,0018815,0.8054,185,100
0.1,0018816,0.9675,953,34
0.1,0018817,0.4219,64,65
0.1,0018818,0.8829,111,26
0.1,0018819,0.5145,482,403
0.1,0018820,0.1176,238,236
0.1,0018821,0.2227,211,194
0.1,0018822,0.3694,444,417
0.1,0018823,0.2191,251,256
0.1,0018824,0.0904,343,336
0.1,0018825,0.8317,208,57
0.1,0018826,0.6189,454,376
0.1,0018827,0.0100,201,203
0.1,0018828,0.1823,543,509
0.1,0018829,0.0604,513,513
0.1,0018830,0.7798,377,210
0.1,0018831,0.7845,297,110
0.1,0018832,0.7613,243,102
0.1,0018833,0.8063,284,141
0.1,0018834,0.5680,331,286
0.1,0018835,0.7706,279,125
0.1,0018836,0.6575,362,247
0.1,0018837,0.5068,511,438
0.1,0018838,0.5487,554,424
0.1,0018839,0.6653,487,254
0.1,0018840,0.7619,231,123
0.1,0018841,0.0061,326,327
0.1,0018842,0.7933,445,200
0.1,0018843,0.5979,378,257
0.1,0018844,0.8359,457,165
0.1,0018845,0.7934,213,88
0.1,0018846,1.0000,0,24
0.1,0018847,0.8492,398,118
0.1,0018848,0.0754,199,201
0.1,0018849,0.4248,306,243
0.1,0018850,0.8333,294,135
0.1,0018851,0.9426,418,27
0.1,0018852,0.7807,269,122
0.1,0018853,0.3234,303,280
0.1,0018854,0.8133,75,45
0.1,0018855,0.6471,272,217
0.1,0018856,0.1250,448,493
0.1,0018857,0.7801,382,138
0.1,0018858,0.1720,378,377
0.1,0018859,0.6351,211,183
0.1,0018860,0.1630,276,302
0.1,0018861,0.9762,168,4
0.1,0018862,0.3911,473,451
0.1,0018863,0.5924,157,120
0.1,0018864,0.7478,230,110
0.1,0018865,0.8202,406,124
0.1,0018866,0.8481,79,57
0.1,0018867,0.7000,120,74
0.1,0018868,0.4774,310,262
0.1,0018869,0.7284,567,319
0.1,0018870,0.7948,458,167
0.1,0018871,0.7649,251,120
0.1,0018872,0.8862,334,104
0.1,0018873,0.0851,388,379
0.1,0018874,0.6205,224,141
0.1,0018875,0.7689,649,285
0.1,0018876,0.7551,486,368
0.1,0018877,0.9333,45,8
0.1,0018878,0.6579,114,105
0.1,0018879,0.6220,336,365
0.1,0018880,0.6089,271,195
0.1,0018881,0.7933,179,136
0.1,0018882,0.4581,227,184
0.1,0018883,0.5771,376,323
0.1,0018884,0.8085,47,49
0.1,0018885,1.0000,12,5
0.1,0018886,0.1380,355,348
0.1,0018887,0.5744,289,261
0.1,0018888,0.0301,166,168
0.1,0018889,0.6667,237,144
0.1,0018890,0.4545,308,287
0.1,0018891,0.7441,379,183
0.1,0018892,0.8636,484,82
0.1,0018893,0.0356,253,251
0.1,0018894,0.6891,193,133
0.1,0018895,0.1667,126,119
0.1,0018896,0.8732,142,41
0.1,0018897,1.0000,67,2
0.1,0018898,0.9565,322,19
0.1,0018899,0.4222,315,311
0.1,0018900,0.9748,476,12
0.1,0018901,0.4000,285,335
0.1,0018902,0.3023,172,141
0.1,0018903,0.6875,128,144
0.1,0018904,0.0784,153,157
0.1,0018905,0.6336,131,100
0.1,0018906,1.0000,106,0
0.1,0018907,0.5529,170,181
0.1,0018908,0.3542,432,390
0.1,0018909,0.2149,363,356
0.1,0018910,0.9718,284,8
0.1,0018911,0.9533,621,53
0.1,0018912,0.6543,269,343
0.1,0018913,0.0000,1,1
0.1,0018914,0.3713,202,197
0.1,0018915,0.9371,302,22
0.1,0018916,0.6777,422,236
0.1,0018917,0.2543,173,167
0.1,0018918,0.6420,352,234
0.1,0018919,0.4863,364,309
0.1,0018920,0.2303,178,167
0.1,0018921,0.6071,112,135
0.1,0018922,0.7914,139,97
0.1,0018923,0.5660,265,246
0.1,0018924,0.6033,363,200
0.1,0018925,0.1556,347,370
0.1,0018926,0.2418,306,311
0.1,0018927,0.3890,347,348
0.1,0018928,0.8847,373,157
0.1,0018929,0.4324,296,298
0.1,0018930,0.7215,492,300
0.1,0018931,0.2370,616,645
0.1,0018932,0.8435,230,234
0.1,0018933,0.8297,417,105
0.1,0018934,0.8957,230,72
0.1,0018935,1.0000,1,0
0.1,0018936,0.1667,372,376
0.1,0018937,0.6420,243,140
0.1,0018938,0.7138,290,186
0.1,0018939,0.7662,154,91
0.1,0018940,0.9407,135,12
0.1,0018941,0.6214,309,196
0.1,0018942,0.0374,107,107
0.1,0018943,0.4753,446,390
0.1,0018944,0.2513,585,552
0.1,0018945,0.8640,809,160
0.1,0018946,0.7840,375,157
0.1,0018947,0.7588,456,189
0.1,0018948,0.6988,508,298
0.1,0018949,0.6053,152,124
0.1,0018950,0.7344,369,165
